city,season,source,lead_days,n_samples,bias,mae,mse,error_variance
London,MAM,icon,1,119,0.104202,0.842017,1.281176,1.270318
London,MAM,icon,2,119,-0.09916,1.072269,2.128908,2.119075
London,MAM,icon,3,119,-0.190756,1.294958,3.320588,3.2842
London,MAM,icon,4,119,0.019328,1.47479,4.106471,4.106097
London,MAM,icon,5,119,0.288235,1.735294,5.161597,5.078517
London,MAM,icon,6,119,0.307563,2.033613,7.222017,7.127422
London,MAM,openmeteo,2,119,0.792437,1.27479,2.50563,1.877674
London,MAM,openmeteo,3,119,0.857983,1.498319,3.288319,2.552184
London,MAM,openmeteo,4,119,1.037815,1.82605,5.264454,4.187394
London,MAM,openmeteo,5,119,1.083193,1.947059,5.643277,4.46997
London,MAM,openmeteo,6,119,1.478992,2.32437,7.807899,5.620483
London,MAM,openmeteo,7,119,1.342857,2.588235,10.416975,8.613709
London,MAM,ukmo,1,119,-0.009244,1.091597,2.00395,2.003864
London,MAM,ukmo,2,119,0.792437,1.27479,2.50563,1.877674
London,MAM,ukmo,3,119,0.857983,1.498319,3.288319,2.552184
London,MAM,ukmo,4,119,1.037815,1.82605,5.264454,4.187394
London,MAM,ukmo,5,119,1.083193,1.947059,5.643277,4.46997
London,MAM,ukmo,6,119,1.493277,2.311765,7.786471,5.556593
NYC,MAM,ecmwf,1,116,3.522414,4.263793,26.952414,14.545015
NYC,MAM,ecmwf,2,116,3.687069,4.561207,31.896983,18.302505
NYC,MAM,ecmwf,3,116,3.710345,4.753448,33.077414,19.310755
NYC,MAM,ecmwf,4,116,3.231034,5.103448,39.21431,28.774727
NYC,MAM,ecmwf,5,116,3.425862,5.686207,53.612069,41.875538
NYC,MAM,ecmwf,6,116,3.809483,6.347414,74.966293,60.454134
NYC,MAM,ecmwf,7,116,3.030172,6.337069,64.673017,55.491072
NYC,MAM,gfs,1,116,2.015517,3.348276,18.171207,14.108897
NYC,MAM,gfs,2,116,1.687069,3.407759,21.005776,18.159574
NYC,MAM,gfs,3,116,1.546552,3.706897,23.931552,21.539729
NYC,MAM,gfs,4,116,1.868966,4.434483,34.746724,31.253692
NYC,MAM,icon,1,116,1.644828,2.927586,14.096207,11.390749
NYC,MAM,icon,2,116,2.156034,3.306034,18.452845,13.80436
NYC,MAM,icon,3,116,2.171552,3.690517,25.5775,20.861863
NYC,MAM,icon,4,116,2.459483,4.283621,30.756121,24.707065
NYC,MAM,openmeteo,2,116,1.687069,3.407759,21.005776,18.159574
NYC,MAM,openmeteo,3,116,1.546552,3.706897,23.931552,21.539729
NYC,MAM,openmeteo,4,116,1.868966,4.434483,34.746724,31.253692
NYC,MAM,ukmo,1,116,1.259483,2.835345,14.189569,12.603272
NYC,MAM,ukmo,2,116,1.799138,3.619828,21.152328,17.91543
NYC,MAM,ukmo,3,116,2.060345,3.982759,25.076552,20.831531
NYC,MAM,ukmo,4,116,2.051724,4.224138,31.006379,26.796807
NYC,MAM,ukmo,5,116,1.468103,4.914655,44.516293,42.360965
NYC,MAM,ukmo,6,116,2.183621,6.118103,65.774914,61.006714
NYC,MAM,gfs,5,115,1.358261,4.641739,41.839478,39.994606
NYC,MAM,gfs,6,115,1.371304,6.287826,68.463217,66.582742
NYC,MAM,icon,5,115,2.267826,5.006957,47.055304,41.912269
NYC,MAM,icon,6,115,2.115652,5.687826,60.723739,56.247755
NYC,MAM,openmeteo,5,115,1.358261,4.641739,41.839478,39.994606
